31557600.0
node 69    2.25682e+06   -3.06652e+06   -2.56776e+06      2.46706e+06   -757177   -4.25245e+06      2.94201e+06   -907165   -5.19654e+06
node 70    2.70411e+06   -2.18929e+06   -2.92881e+06      2.44142e+06   -740921   -4.28181e+06      2.91148e+06   -887073   -5.22969e+06
node 71    1.72247e+06   -2.45732e+06   -2.56198e+06      2.3618e+06   -790744   -4.19346e+06      2.81601e+06   -948176   -5.12394e+06
node 72    -952271   -868110   5.58323e+06      2.50554e+06   -971946   -4.70687e+06      2.98078e+06   -1.25005e+06   -5.63724e+06
node 73    1.82344e+06   -4.23606e+06   -2.31095e+06      2.56873e+06   -768922   -4.26097e+06      3.06321e+06   -921751   -5.20991e+06
node 74    2.75324e+06   -3.7488e+06   -2.21891e+06      2.58737e+06   -755846   -4.29358e+06      3.08638e+06   -904624   -5.24763e+06
node 75    2.795e+06   -4.39498e+06   -2.38851e+06      2.62051e+06   -749357   -4.3142e+06      3.12646e+06   -896856   -5.27388e+06
node 76    2.31806e+06   -3.83873e+06   -2.86069e+06      2.50276e+06   -729620   -4.28096e+06      2.98487e+06   -874113   -5.23257e+06
node 77    2.8903e+06   -3.41878e+06   -1.19466e+06      2.65685e+06   -796140   -4.28163e+06      3.16829e+06   -951418   -5.23282e+06
node 78    3.52523e+06   -3.33825e+06   -1.95766e+06      2.62348e+06   -726326   -4.30095e+06      3.12948e+06   -867714   -5.25407e+06
node 79    3.15627e+06   -2.79679e+06   -2.27449e+06      2.55082e+06   -741756   -4.29046e+06      3.04233e+06   -887106   -5.24072e+06
node 80    3.16237e+06   -4.30649e+06   -2.07038e+06      2.65953e+06   -745902   -4.31666e+06      3.17338e+06   -891857   -5.27624e+06
node 81    2.57488e+06   -4.26272e+06   -1.57522e+06      2.67583e+06   -796752   -4.29542e+06      3.19209e+06   -953324   -5.25191e+06
node 82    2.05547e+06   -3.26627e+06   -1.78518e+06      2.54807e+06   -812128   -4.24031e+06      3.03845e+06   -972891   -5.18302e+06
node 83    -814525   -3.39665e+06   -3.80721e+06      2.29419e+06   -886857   -3.87032e+06      2.72997e+06   -1.06239e+06   -4.72806e+06
node 84    -1.05971e+06   -2.78952e+06   -2.83681e+06      2.10572e+06   -1.03205e+06   -3.76583e+06      2.50642e+06   -1.23566e+06   -4.59957e+06
node 85    48671.5   -3.73937e+06   -3.76955e+06      2.35495e+06   -700916   -3.95806e+06      2.80378e+06   -840441   -4.8374e+06
node 86    391112   -3.19957e+06   -2.60542e+06      2.18836e+06   -659156   -3.88028e+06      2.60693e+06   -791662   -4.74285e+06
node 87    -1.38488e+06   2.79074e+06   2.64166e+06      1.88969e+06   -1.0532e+06   -3.76387e+06      2.25773e+06   -1.26595e+06   -4.59955e+06
node 88    -783563   2.02012e+06   3.33975e+06      2.04248e+06   -1.03875e+06   -4.17665e+06      2.44153e+06   -1.24574e+06   -5.07614e+06
node 89    -477065   2.65256e+06   3.73814e+06      1.96766e+06   -1.05381e+06   -4.08127e+06      2.34063e+06   -1.23921e+06   -4.99654e+06
node 90    -1.51043e+06   2.78638e+06   3.60959e+06      1.96313e+06   -1.11681e+06   -3.86826e+06      2.33836e+06   -1.31882e+06   -4.73693e+06
node 91    -1.37815e+06   2.13344e+06   2.40813e+06      1.99201e+06   -1.04257e+06   -3.96205e+06      2.38527e+06   -1.26358e+06   -4.81906e+06
node 92    -1.83762e+06   2.11771e+06   2.87022e+06      2.02786e+06   -1.0759e+06   -3.90792e+06      2.43271e+06   -1.29494e+06   -4.75392e+06
node 93    2.63198e+06   -2.3858e+06   -4.01003e+06      2.40355e+06   -725599   -4.29562e+06      2.86599e+06   -868564   -5.24685e+06
node 94    2.1722e+06   -3.28571e+06   -3.61733e+06      2.41523e+06   -721091   -4.25346e+06      2.87975e+06   -863911   -5.19773e+06
node 95    -1.37279e+06   2.4557e+06   4.38062e+06      2.05411e+06   -1.16183e+06   -4.03337e+06      2.43413e+06   -1.34273e+06   -4.94082e+06
