  x        y       z         ux            uy          uz
-25000   -24397.6   0      0.0646367   0.0645531   0.00929582
-24397.6   -25000   0      0.0637955   0.0651331   0.00929615
-23795.2   -25000   0      0.0647513   0.0668604   0.00925519
-23192.8   -25000   0      0.0656837   0.0686188   0.00919735
-22590.4   -25000   0      0.0665304   0.0703354   0.00915004
-21988   -25000   0      0.0673451   0.0720507   0.00907358
-21385.5   -25000   0      0.0680745   0.0737567   0.00898551
-20783.1   -25000   0      0.0687277   0.0753824   0.00889524
-20180.7   -25000   0      0.0693027   0.0769974   0.00878787
-19578.3   -25000   0      0.0697769   0.0785039   0.00864118
-18975.9   -25000   0      0.0701868   0.0799563   0.00849011
-18373.5   -25000   0      0.0704681   0.0813012   0.00833279
-17771.1   -25000   0      0.0706667   0.0825194   0.00815372
-17168.7   -25000   0      0.070752   0.0836352   0.00794609
-16566.3   -25000   0      0.070698   0.0845963   0.00772692
-15963.9   -25000   0      0.0705474   0.085365   0.00749746
-15361.4   -25000   0      0.0702573   0.085988   0.00724111
-14759   -25000   0      0.0698469   0.0863497   0.00699709
-14156.6   -25000   0      0.0693262   0.0865266   0.0067214
-13554.2   -25000   0      0.0686653   0.0864836   0.00642695
-12951.8   -25000   0      0.0678929   0.0860883   0.00613923
-12349.4   -25000   0      0.0670038   0.0855217   0.00582849
-11747   -25000   0      0.0659929   0.0845339   0.00553277
-11144.6   -25000   0      0.0649053   0.083289   0.00522059
-10542.2   -25000   0      0.0637171   0.0816946   0.00489253
-9939.76   -25000   0      0.0624528   0.0797085   0.00457951
-9337.35   -25000   0      0.0611343   0.0774495   0.00425231
-8734.94   -25000   0      0.059735   0.0747278   0.00394534
-8132.53   -25000   0      0.0583526   0.0716662   0.00363951
-7530.12   -25000   0      0.056936   0.068294   0.00331667
-6927.71   -25000   0      0.0554945   0.0644357   0.00301616
-6325.3   -25000   0      0.0541104   0.0603215   0.00269138
-5722.89   -25000   0      0.0527289   0.0557704   0.00241662
-5120.48   -25000   0      0.0514568   0.0509082   0.00215338
-4518.07   -25000   0      0.050282   0.0458015   0.00188638
-3915.66   -25000   0      0.049158   0.0403141   0.00162554
-3313.25   -25000   0      0.0482224   0.0346556   0.00135181
-2710.84   -25000   0      0.0473432   0.0287468   0.00111446
-2108.43   -25000   0      0.046669   0.0226121   0.000880105
-1506.02   -25000   0      0.0461805   0.0164189   0.000619126
-903.614   -25000   0      0.0457856   0.0100045   0.000385815
-301.205   -25000   0      0.0456151   0.00363633   0.000120844
301.205   -25000   0      0.0455729   -0.00284499   -0.000101808
903.614   -25000   0      0.0457472   -0.00930821   -0.000345825
1506.02   -25000   0      0.0461331   -0.0156798   -0.000622164
2108.43   -25000   0      0.0466001   -0.0219222   -0.00085461
2710.84   -25000   0      0.0473244   -0.028089   -0.00110002
3313.25   -25000   0      0.0481277   -0.0339559   -0.00137207
3915.66   -25000   0      0.0490775   -0.0397438   -0.0016472
4518.07   -25000   0      0.0501792   -0.0451916   -0.00190823
5120.48   -25000   0      0.0513334   -0.0503223   -0.00219339
5722.89   -25000   0      0.0526335   -0.0552799   -0.00245774
6325.3   -25000   0      0.0539633   -0.0597538   -0.00274647
6927.71   -25000   0      0.055345   -0.0640176   -0.00303932
7530.12   -25000   0      0.0567731   -0.0678793   -0.0033343
8132.53   -25000   0      0.0581741   -0.0712692   -0.00364637
8734.94   -25000   0      0.0596032   -0.0744329   -0.00392815
9337.35   -25000   0      0.0609849   -0.0771067   -0.00425651
9939.76   -25000   0      0.0623093   -0.0794651   -0.00455885
10542.2   -25000   0      0.0635957   -0.0814882   -0.00487022
11144.6   -25000   0      0.0647981   -0.0830488   -0.00518234
11747   -25000   0      0.0659156   -0.0844253   -0.00548146
12349.4   -25000   0      0.0669292   -0.0853459   -0.00579737
12951.8   -25000   0      0.0678147   -0.0859995   -0.00608364
13554.2   -25000   0      0.0686112   -0.0864268   -0.00636721
14156.6   -25000   0      0.0692893   -0.0865075   -0.00664845
14759   -25000   0      0.0698224   -0.0863838   -0.00692662
15361.4   -25000   0      0.070263   -0.0860326   -0.00717321
15963.9   -25000   0      0.0705562   -0.0854293   -0.00742378
16566.3   -25000   0      0.0707277   -0.0846882   -0.00764853
17168.7   -25000   0      0.0707973   -0.0837307   -0.00786441
17771.1   -25000   0      0.0707138   -0.0826446   -0.00806926
18373.5   -25000   0      0.0705626   -0.0814574   -0.00824769
18975.9   -25000   0      0.0702692   -0.0800783   -0.00842159
19578.3   -25000   0      0.0698873   -0.078671   -0.00857348
20180.7   -25000   0      0.0694261   -0.0771507   -0.00871277
20783.1   -25000   0      0.0688424   -0.0755644   -0.00883559
21385.5   -25000   0      0.0682112   -0.0739566   -0.00893832
21988   -25000   0      0.0674929   -0.0722646   -0.00903314
22590.4   -25000   0      0.0666869   -0.0705635   -0.00911634
23192.8   -25000   0      0.0658381   -0.0688431   -0.00917283
23795.2   -25000   0      0.0649154   -0.0670903   -0.00922083
24397.6   -25000   0      0.06397   -0.0653811   -0.00926813
25000   -25000   0      0.0629665   -0.0636299   -0.00928809
25000   25000   0      -0.0627865   -0.0635075   0.00932307
-25000   25000   0      -0.0628111   0.063372   -0.00928983
-25000   -25000   0      0.0627867   0.0633866   0.00931146
24514.7   -24114.3   0      0.0666261   -0.0668811   -0.0092143
24471.7   -23516.4   0      0.068682   -0.0682336   -0.00916471
24474.6   -22902.7   0      0.0707017   -0.0694157   -0.0090977
24475.6   -22296.2   0      0.0727408   -0.0705693   -0.00901643
24476.3   -21690.7   0      0.0747835   -0.0716592   -0.0089272
24477.1   -21086.2   0      0.0768135   -0.0726865   -0.00881635
24477.7   -20482.7   0      0.0788372   -0.0736387   -0.00868626
24478   -19879.8   0      0.0808266   -0.0745176   -0.00853455
24478.2   -19277.2   0      0.0827675   -0.0753002   -0.00836403
24478.3   -18674.7   0      0.0846741   -0.0759891   -0.00816816
24478.3   -18072.3   0      0.0865004   -0.0765741   -0.00795486
24478.3   -17469.9   0      0.0882453   -0.0770298   -0.00771967
24478.3   -16867.5   0      0.0898828   -0.077366   -0.00746809
24478.3   -16265.1   0      0.0913755   -0.0775561   -0.00719897
24478.3   -15662.7   0      0.0927463   -0.0776014   -0.00691784
24478.3   -15060.3   0      0.0939261   -0.0775078   -0.00661916
24478.3   -14457.8   0      0.094889   -0.0772418   -0.00629626
24478.3   -13855.4   0      0.0956504   -0.0768111   -0.00595869
24478.3   -13253   0      0.0961381   -0.0762197   -0.00560664
24478.3   -12650.6   0      0.0963468   -0.0754394   -0.00524329
24478.3   -12048.2   0      0.0962264   -0.0745064   -0.00487404
24478.3   -11445.8   0      0.0957394   -0.0733875   -0.00449817
24478.3   -10843.4   0      0.0948915   -0.072117   -0.00411552
24478.3   -10241   0      0.0936034   -0.0706892   -0.00372963
24478.3   -9638.57   0      0.0918793   -0.0691007   -0.00334672
24478.3   -9036.16   0      0.0896901   -0.0673996   -0.00297026
24478.3   -8433.75   0      0.0869919   -0.0655664   -0.00261424
24478.3   -7831.34   0      0.0838169   -0.0636548   -0.00227029
24478.3   -7228.93   0      0.0800951   -0.0616963   -0.00194461
24478.3   -6626.52   0      0.0758325   -0.0596895   -0.00164978
24478.3   -6024.11   0      0.0710578   -0.0577068   -0.00137404
24478.3   -5421.7   0      0.0657308   -0.0557404   -0.001128
24478.3   -4819.29   0      0.0599402   -0.053857   -0.000910842
24478.3   -4216.88   0      0.0536686   -0.0521086   -0.000717794
24478.3   -3614.47   0      0.0469227   -0.0504925   -0.000546035
24478.3   -3012.06   0      0.0398255   -0.0490772   -0.00039908
24478.3   -2409.65   0      0.0323429   -0.0478748   -0.000265656
24478.3   -1807.24   0      0.024619   -0.0468958   -0.000151225
24478.3   -1204.83   0      0.0167111   -0.0462083   -4.26476e-05
24478.3   -602.423   0      0.00860006   -0.0457742   5.52793e-05
24478.3   -0.0132532   0      0.000436402   -0.0456161   0.000155043
24478.3   602.396   0      -0.00775802   -0.0457402   0.000251821
24478.3   1204.81   0      -0.0158748   -0.0461474   0.000354243
24478.3   1807.22   0      -0.023832   -0.046838   0.000459828
24478.3   2409.63   0      -0.0316084   -0.0477935   0.000570361
24478.3   3012.03   0      -0.0390681   -0.0489757   0.000697118
24478.3   3614.44   0      -0.0461994   -0.0503889   0.000844048
24478.3   4216.85   0      -0.0529475   -0.051965   0.00100295
