
Model of Maule fault in Chile
3 fixed CMB points

 Gravity changes  -- element group #1 

 Simulation time = 0.000000 ; step size = 0

 coordinates                          accelerations . . .->      geoid change & gradients
   X             Y            Z       dg_x        dg_y      dg_z      dg_net        dN    P_zx     P_zy     P_zz
-2.05286e+06  329733  2.7691e+06      -1.18148e-09  7.21558e-11  -1.07268e-09     -9.82     -0.000571595    1.90343e-15     3.25877e-16     -7.92511e-16
-1.68778e+06  535742  2.98021e+06      -1.26986e-09  3.35103e-10  -1.26642e-09     -9.82     -0.000634294    1.31804e-15     -3.35128e-16     -7.57328e-16
-3.28126e+06  -1.1004e+06  -295457      -5.2731e-11  -2.15847e-11  -2.8413e-10     -9.82     -0.00029174    1.64319e-16     -1.89591e-16     -8.14703e-17
-2.71179e+06  2.10732e+06  -323576      -1.46221e-10  -4.72389e-12  -3.13767e-10     -9.82     -0.000310606    1.11964e-16     2.55218e-17     2.23536e-17
2.21353e+06  -2.38679e+06  -1.17614e+06      1.03377e-10  -1.07388e-10  -2.6831e-10     -9.82     -0.000290902    2.35596e-17     4.07915e-19     5.5054e-17
-3.15531e+06  -1.29893e+06  -633456      -4.8115e-11  -1.32714e-11  -2.43415e-10     -9.82     -0.000282843    2.57098e-16     1.04605e-16     -5.15152e-16
-178685  3.24603e+06  -1.22579e+06      -1.25914e-11  1.3879e-10  -2.69896e-10     -9.82     -0.000293928    -3.77664e-17     -1.01345e-17     3.10435e-17
-1.62854e+06  -1.81904e+06  2.46314e+06      -6.03804e-10  -5.99494e-10  -9.72382e-10     -9.82     -0.000501191    6.7218e-16     3.85758e-16     2.99822e-16
802278  1.9317e+06  -2.76667e+06      3.90872e-11  8.6174e-11  -2.82053e-10     -9.82     -0.000264276    8.42309e-17     1.47388e-16     -6.14806e-17
-1.23499e+06  2.73794e+06  1.73383e+06      -1.77141e-10  3.72143e-10  -6.74282e-10     -9.82     -0.000426147    -3.83477e-17     -1.67835e-16     1.7965e-16
1.40536e+06  263069  -3.15491e+06      5.83006e-11  -5.31626e-12  -2.95531e-10     -9.82     -0.000257231    1.23015e-16     3.25802e-17     -1.6162e-16
1.90905e+06  -1.32304e+06  -2.57235e+06      8.34446e-11  -6.98617e-11  -2.72239e-10     -9.82     -0.000265165    1.73483e-16     -4.87703e-17     -6.29075e-18
-534602  308653  -3.38846e+06      -5.338e-11  -1.11106e-11  -2.59654e-10     -9.82     -0.000250312    2.2187e-17     1.07613e-17     -2.15449e-17
1.2195e+06  -1.72672e+06  2.74713e+06      5.49833e-10  -8.28722e-10  -1.08646e-09     -9.82     -0.0005669    -7.76028e-16     2.7386e-16     -5.21285e-16
1.69018e+06  -1.03491e+06  2.84499e+06      9.24377e-10  -6.4631e-10  -1.09665e-09     -9.82     -0.000592388    -6.7972e-16     5.98656e-16     -5.4126e-16
-1.73362e+06  -949495  2.84766e+06      -1.00258e-09  -6.07785e-10  -1.15155e-09     -9.82     -0.000585773    6.63231e-16     4.32915e-16     -6.95568e-16
-2.40566e+06  -400785  2.46462e+06      -8.86247e-10  -2.06626e-10  -9.79736e-10     -9.82     -0.000503271    7.00961e-16     2.10908e-16     1.71828e-16
-2.34551e+06  949405  2.3728e+06      -7.73364e-10  2.75513e-10  -9.21393e-10     -9.82     -0.000493793    5.61075e-16     -4.41762e-16     -8.51919e-17
-1.72856e+06  -903888  -2.86389e+06      -8.57737e-11  -4.39478e-11  -1.92307e-10     -9.82     -0.000250752    8.24291e-17     3.85976e-17     -1.09997e-17
-3.41882e+06  -284548  -427590      -6.61393e-11  -6.40406e-11  -2.59226e-10     -9.82     -0.000291436    1.25337e-16     2.11951e-16     -1.23394e-16
-997073  -563002  3.26224e+06      -1.24752e-09  -7.59792e-10  -1.46637e-09     -9.82     -0.000735839    1.34258e-15     5.49515e-16     -1.4529e-15
1.47804e+06  -2.24703e+06  2.18955e+06      3.15348e-10  -5.15593e-10  -8.05994e-10     -9.82     -0.00046906    -1.96816e-16     2.90815e-16     -8.49827e-17
1.36304e+06  -2.95588e+06  -1.19784e+06      3.50632e-11  -1.28996e-10  -2.60277e-10     -9.82     -0.000289731    -3.55071e-17     -6.2343e-18     7.47733e-17
-440418  2.83373e+06  1.94913e+06      -9.28593e-11  5.00199e-10  -7.76717e-10     -9.82     -0.000449078    2.60868e-17     -1.31115e-16     3.41985e-16
-2.94694e+06  820413  -1.61432e+06      -9.00283e-11  -3.7357e-11  -2.02954e-10     -9.82     -0.000270969    1.26156e-16     -1.37085e-17     -1.05846e-17
-2.02588e+06  2.13534e+06  -1.81272e+06      -1.04193e-10  2.83293e-11  -2.41837e-10     -9.82     -0.000275794    4.49155e-17     -3.83542e-17     6.02515e-17
1.52023e+06  3.11547e+06  -264941      9.3877e-11  1.48685e-10  -2.87154e-10     -9.82     -0.000315953    3.90437e-17     -6.69105e-17     -7.8886e-17
-323304  2.80849e+06  -2.00605e+06      -1.9108e-11  1.09171e-10  -2.66655e-10     -9.82     -0.000277259    -1.1452e-18     3.80291e-17     -1.23004e-17
766836  2.27804e+06  -2.50645e+06      4.20256e-11  1.05898e-10  -2.74731e-10     -9.82     -0.00026873    3.69821e-17     1.76286e-16     -4.58882e-17
-618231  3.33954e+06  -749922      -3.09273e-11  1.40228e-10  -2.86028e-10     -9.82     -0.000305619    5.68545e-18     -9.27853e-18     3.33909e-17
-1.09671e+06  3.27237e+06  -224138      -5.4812e-11  1.39614e-10  -3.33052e-10     -9.82     -0.000321728    1.97658e-17     -1.13664e-17     3.37722e-17
-1.75533e+06  -465374  2.95074e+06      -1.2506e-09  -4.05783e-10  -1.22362e-09     -9.82     -0.000617769    1.30402e-15     4.15076e-16     -7.05996e-16
529003  -3.12486e+06  -1.38729e+06      -2.16184e-11  -1.11961e-10  -2.52468e-10     -9.82     -0.000283679    6.51945e-19     2.23239e-17     3.07846e-17
1.1996e+06  2.45776e+06  2.12655e+06      3.11978e-10  6.31828e-10  -7.72239e-10     -9.82     -0.000466851    -2.92231e-16     -1.32352e-15     3.12182e-17
388005  -1.75482e+06  2.96412e+06      1.91595e-10  -1.15732e-09  -1.33067e-09     -9.82     -0.000624031    -1.84082e-16     1.01971e-15     -5.76982e-16
-1.82575e+06  -2.28806e+06  1.86852e+06      -3.37057e-10  -3.32397e-10  -7.62599e-10     -9.82     -0.000417714    -1.28244e-16     -9.47093e-17     1.04138e-16
2.02643e+06  -1.21439e+06  2.5363e+06      7.95571e-10  -5.12188e-10  -9.2329e-10     -9.82     -0.000524324    -1.3482e-15     8.19747e-16     -1.68355e-16
-2.05464e+06  -1.13251e+06  2.55284e+06      -8.39346e-10  -4.86763e-10  -1.04353e-09     -9.82     -0.000517517    7.27947e-16     3.41573e-16     1.80875e-16
1.60907e+06  3.01848e+06  454129      1.43928e-10  1.86722e-10  -3.85912e-10     -9.82     -0.000342476    -6.42722e-17     -4.83966e-17     1.215e-16
-2.38441e+06  -864418  2.36596e+06      -7.71448e-10  -3.52346e-10  -8.95093e-10     -9.82     -0.00048378    6.88501e-16     5.93071e-16     -1.58604e-16
2.85896e+06  1.97321e+06  -68973.8      1.74438e-10  1.03134e-10  -3.07969e-10     -9.82     -0.000317666    -1.8898e-17     -3.23285e-17     -8.52158e-18
-1.0663e+06  3.15242e+06  989023      -9.67414e-11  2.09808e-10  -4.42602e-10     -9.82     -0.000373625    -6.78322e-17     -7.25442e-17     1.82616e-16
-2.26017e+06  -2.61014e+06  -342826      -8.2659e-11  -2.12127e-11  -2.75103e-10     -9.82     -0.000295463    1.08952e-16     5.2926e-17     -1.95557e-16
1.9486e+06  2.25146e+06  1.77209e+06      3.70927e-10  3.75593e-10  -6.65992e-10     -9.82     -0.000424619    -2.75834e-16     -2.29451e-16     2.98927e-17
-2.67778e+06  -981159  -1.96191e+06      -6.96687e-11  -2.72962e-11  -1.6748e-10     -9.82     -0.000260302    1.66584e-16     4.55198e-17     -2.96861e-18
598860  3.22731e+06  -1.11577e+06      3.76607e-11  1.43716e-10  -2.68933e-10     -9.82     -0.000295908    2.56502e-17     -2.70162e-18     4.75975e-18
-855286  3.19388e+06  -1.0654e+06      -4.63279e-11  1.23993e-10  -2.74834e-10     -9.82     -0.000297359    -8.05657e-18     -4.49193e-17     5.17557e-17
1.07653e+06  3.0765e+06  -1.15615e+06      6.51871e-11  1.32672e-10  -2.64878e-10     -9.82     -0.000294346    -3.08136e-17     3.41939e-17     1.0733e-17
1.32961e+06  3.10906e+06  -806220      9.27759e-11  1.37692e-10  -2.63855e-10     -9.82     -0.000301841    3.04356e-17     -2.68696e-17     5.42996e-17
-2.42782e+06  -343015  -2.45375e+06      -8.55252e-11  -3.56679e-11  -1.74488e-10     -9.82     -0.000254868    1.16776e-16     2.68348e-17     3.45669e-17
-1.15231e+06  2.71426e+06  -1.81817e+06      -6.71815e-11  8.46614e-11  -2.59044e-10     -9.82     -0.000279535    5.29484e-17     -4.64587e-17     5.28318e-17
-2.02519e+06  -2.68747e+06  815079      -1.62627e-10  -9.65967e-11  -4.68973e-10     -9.82     -0.000343003    -4.69764e-17     -9.12803e-17     -2.97771e-16
-1.25127e+06  -1.65282e+06  -2.7777e+06      -7.63905e-11  -6.16501e-11  -2.02679e-10     -9.82     -0.00025241    7.35768e-17     2.13224e-17     2.12835e-17
2.44228e+06  -438213  -2.41947e+06      1.31848e-10  -2.54571e-11  -2.61682e-10     -9.82     -0.000267634    1.43096e-16     -5.42683e-17     1.30269e-17
-884770  1.06677e+06  -3.18397e+06      -6.4049e-11  1.86805e-11  -2.63433e-10     -9.82     -0.00025389    3.55128e-18     5.19765e-17     -8.57797e-17
-467224  -1.32775e+06  -3.16786e+06      -6.33485e-11  -6.67549e-11  -2.39346e-10     -9.82     -0.000250583    1.56918e-17     -2.00746e-17     -5.13876e-17
-212695  3.36671e+06  -849232      -3.86867e-12  1.46503e-10  -2.77916e-10     -9.82     -0.000302988    -1.90121e-17     9.88575e-18     6.87242e-17
2.69371e+06  2.13061e+06  -461461      1.5903e-10  9.88849e-11  -2.78662e-10     -9.82     -0.000306867    -4.4474e-17     -2.17984e-17     1.01527e-17
2.19673e+06  1.69095e+06  -2.08727e+06      1.24202e-10  7.76045e-11  -2.56749e-10     -9.82     -0.000273899    6.81041e-17     9.27362e-17     -9.30462e-19
2.05077e+06  -2.67368e+06  -793664      8.90827e-11  -1.20772e-10  -2.76173e-10     -9.82     -0.000300194    -3.77036e-17     1.35088e-17     4.38169e-17
-950165  -1.06721e+06  3.15688e+06      -8.30836e-10  -1.09456e-09  -1.38503e-09     -9.82     -0.000687621    9.1671e-16     8.94564e-16     -8.80282e-16
